id,tier,source,state,city,hospital_name,contact_role,email,phone,website_source,notes
P0011,A,PMJAY_PRIVATE,Assam,Kamrup,Dr. B Borooah Cancer Institute 7099004108 bbci_info@yahoo.co.in,Hospital admin / nodal (private),bbci_info@yahoo.co.in,7099004108,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0012,A,PMJAY_PRIVATE,Assam,Kamrup,"GNRC Institute Of Medical Sciences, Amingaon 8638765007 mustafarose250@gmail.com",Hospital admin / nodal (private),mustafarose250@gmail.com,8638765007,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0013,A,PMJAY_PRIVATE,Assam,Kamrup,METRO Agile Hospital Pvt. Ltd 8011825755 agilehospitals@gmail.com,Hospital admin / nodal (private),agilehospitals@gmail.com,8011825755,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0014,A,PMJAY_PRIVATE,Assam,Kamrup,METRO Ayursundra Superspeciality Hospital 9864748572 corporatecell@ayursundra.in,Hospital admin / nodal (private),corporatecell@ayursundra.in,9864748572,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0015,A,PMJAY_PRIVATE,Assam,Kamrup,METRO Central Nursing Home 9864094046 bbbaishya@gmail.com,Hospital admin / nodal (private),bbbaishya@gmail.com,9864094046,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0016,A,PMJAY_PRIVATE,Assam,Kamrup,METRO Dispur Hospitals Pvt Ltd 6900010210 dishosp@gmail.com,Hospital admin / nodal (private),dishosp@gmail.com,6900010210,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0017,A,PMJAY_PRIVATE,Assam,Kamrup,METRO Guwahati Netralaya Eye Hospital and Research Center 9864093366 dr.anil03@gmail.com Ophthalmology,Hospital admin / nodal (private),dr.anil03@gmail.com,9864093366,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0018,A,PMJAY_PRIVATE,Assam,Kamrup,METRO HAYAT HOSPITAL PVT. LTD. 8011003128 hhqualitycontrol@gmail.com,Hospital admin / nodal (private),hhqualitycontrol@gmail.com,8011003128,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0019,A,PMJAY_PRIVATE,Assam,Kamrup,"METRO INSTITUTE OF UROLOGY AND KIDNEY DISEASES 9706782685 iukd.india@gmail.com Nephrology,General Surgery,General Medici",Hospital admin / nodal (private),iukd.india@gmail.com,9706782685,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0020,A,PMJAY_PRIVATE,Assam,Kamrup,METRO KGMT Multispeciality Hospitals 9864042003 kuntal_trust@rediffmail.com,Hospital admin / nodal (private),kuntal_trust@rediffmail.com,9864042003,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0021,A,PMJAY_PRIVATE,Assam,Kamrup,METRO Midland Hospital & Research Centre (P) Ltd 8638575995 rahulamin706@gmail.com,Hospital admin / nodal (private),rahulamin706@gmail.com,8638575995,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0022,A,PMJAY_PRIVATE,Assam,Kamrup,"METRO North East Cancer Hospital And Research Institute 9101265621 aaa.amn0040@gmail.com Medical Oncology,Radiation Onco",Hospital admin / nodal (private),aaa.amn0040@gmail.com,9101265621,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0023,A,PMJAY_PRIVATE,Assam,Kamrup,METRO down town hospital ltd. 9864188039 tpa@downtowngroup.org,Hospital admin / nodal (private),tpa@downtowngroup.org,9864188039,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0024,A,PMJAY_PRIVATE,Assam,Kamrup,NORVIC HOSPITAL AND RESEARCH CENTRE 7300872503 dr.raj.malakar@gmail.com,Hospital admin / nodal (private),dr.raj.malakar@gmail.com,7300872503,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0025,A,PMJAY_PRIVATE,Assam,Karbi,ANGLONG AAROGYA MULTISPECIALITY HOSPITAL 9101100299 shyambulbuli@gmail.com,Hospital admin / nodal (private),shyambulbuli@gmail.com,9101100299,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0026,A,PMJAY_PRIVATE,Assam,Lakhimpur,Mid Town Hospital Research Institute 7002669317 mail4tanmay@gmail.com,Hospital admin / nodal (private),mail4tanmay@gmail.com,7002669317,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0027,A,PMJAY_PRIVATE,Assam,Nagaon,Haibargaon Nursing Home Unit Pkb Nur. Home Pvt Ltd 9435061481 kpchoudhury40@gmail.com,Hospital admin / nodal (private),kpchoudhury40@gmail.com,9435061481,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0028,A,PMJAY_PRIVATE,Assam,Nagaon,KAPILI HOSPITAL AND RESEARCH CENTRE 9954041882 kapilihospital@gmail.com,Hospital admin / nodal (private),kapilihospital@gmail.com,9954041882,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0029,A,PMJAY_PRIVATE,Assam,Nagaon,P&K Memorial Nursing Home 9401607563 pkbnursing86@gmail.com,Hospital admin / nodal (private),pkbnursing86@gmail.com,9401607563,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0030,A,PMJAY_PRIVATE,Assam,Nagaon,SIMS MULTISPECIALITY HOSPITAL 9101761547 simshospitalnog@gmail.com,Hospital admin / nodal (private),simshospitalnog@gmail.com,9101761547,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0031,A,PMJAY_PRIVATE,Assam,Nagaon,TRINAYAN HEALTH CARE & RESEARCH CENTRE 9401929001 trinayan.cb@gmail.com,Hospital admin / nodal (private),trinayan.cb@gmail.com,9401929001,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0032,A,PMJAY_PRIVATE,Assam,Nalbari,"MEDINOVA MULTISPECIALITY NURSING HOME 9435000908 ratulmedinova@gmail.com General Surgery,Obstetrics & Gynaecology,Orthop",Hospital admin / nodal (private),ratulmedinova@gmail.com,9435000908,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0033,A,PMJAY_PRIVATE,Assam,Nalbari,NALBARI MULTISPECIALITY HOSPITAL 6000378168 billing.nmh@gmail.com,Hospital admin / nodal (private),billing.nmh@gmail.com,6000378168,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0034,A,PMJAY_PRIVATE,Assam,Sonitpur,Tezpur Eye Hospital Private Limited 9954891600 dr.chinmoyee@gmail.com Ophthalmology,Hospital admin / nodal (private),dr.chinmoyee@gmail.com,9954891600,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0035,A,PMJAY_PRIVATE,Assam,Tinsukia,R.C. Agarwal Memorial Hospital And Research Centre 7576865942 rchosptinsukia@gmail.com,Hospital admin / nodal (private),rchosptinsukia@gmail.com,7576865942,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0036,A,HOSPITAL_WEBSITE,Bengaluru,,Omega Hospitals,Corporate / hospital contact desk,info@omegahospitals.com,,https://www.omegahospitals.com/contact/,Public contact page — route to quality/NABH team
P0037,A,HOSPITAL_WEBSITE,Bengaluru,,Omega Hospitals,Corporate / hospital contact desk,info@omegahospital.com,,https://www.omegahospitals.com/contact/,Public contact page — route to quality/NABH team
P0038,A,PMJAY_PRIVATE,Bihar,Begusarai,"Bishnupur Multispeciality Hospital 9472806854 bmhospital2011@gmail.com General Surgery,Obstetrics & Gynaecology",Hospital admin / nodal (private),bmhospital2011@gmail.com,9472806854,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0039,A,PMJAY_PRIVATE,Bihar,Begusarai,GHSPL BEGUSARAI HEALTHCARE LLP 9523096284 insurance.bgsr@ghspl.com,Hospital admin / nodal (private),insurance.bgsr@ghspl.com,9523096284,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0040,A,PMJAY_PRIVATE,Bihar,Begusarai,MANJU MEERA HOSPITAL PRIVATE LIMITED 9835008416 bkpmch@gmail.com Orthopaedics,Hospital admin / nodal (private),bkpmch@gmail.com,9835008416,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0041,A,PMJAY_PRIVATE,Bihar,Begusarai,"NAVLOK HOSPITAL PRIVATE LIMITED 8587937993 navlokhospital@gmail.com General Surgery,General Medicine,Ophthalmology,Optha",Hospital admin / nodal (private),navlokhospital@gmail.com,8587937993,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0042,A,PMJAY_PRIVATE,Bihar,Begusarai,"mira nursing home 7782971426 mnhbegusarai@gmail.com General Surgery,Obstetrics & Gynaecology",Hospital admin / nodal (private),mnhbegusarai@gmail.com,7782971426,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0043,A,PMJAY_PRIVATE,Bihar,Bhagalpur,"Aashray Nursing Home 8800624989 hemshanker12@gmail.com Cardiology,General Medicine",Hospital admin / nodal (private),hemshanker12@gmail.com,8800624989,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0044,A,PMJAY_PRIVATE,Bihar,Bhagalpur,Dr. Priti Memorial Hospital 9931290991 kkthakur.kkt@gmail.com Orthopaedics,Hospital admin / nodal (private),kkthakur.kkt@gmail.com,9931290991,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0045,A,PMJAY_PRIVATE,Bihar,Bhagalpur,EAST ZONE ABC LIFE CARE HOSPITAL PRIVATE LIMITED 9155715540 rahulraj2015bgp@gmail.com,Hospital admin / nodal (private),rahulraj2015bgp@gmail.com,9155715540,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0046,A,PMJAY_PRIVATE,Bihar,Bhagalpur,GHSPL BGLP SUPER SPECIALITY HEALTHCARE LLP insurance.bglp@ghspl.com,Hospital admin / nodal (private),insurance.bglp@ghspl.com,,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0047,A,PMJAY_PRIVATE,Bihar,Bhojpur,"R L MEMORIAL HOSPITAL 7782877222 drvijay7797@gmail.com General Surgery,Obstetrics & Gynaecology,Urology,Urology",Hospital admin / nodal (private),drvijay7797@gmail.com,7782877222,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0048,A,PMJAY_PRIVATE,Bihar,Bhojpur,SIHVAM NURSING HOME 9430574903 drs4kus@yahoo.co.in General Surgery,Hospital admin / nodal (private),drs4kus@yahoo.co.in,9430574903,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0049,A,PMJAY_PRIVATE,Bihar,Buxar,Renephocare Dialysis Pvt Ltd 8210190145 roushanritikesh@gmail.com General Medicine,Hospital admin / nodal (private),roushanritikesh@gmail.com,8210190145,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0050,A,PMJAY_PRIVATE,Bihar,Darbhanga,LIFE CARE HOSPITAL AND TRAUMA CENTRE 7209531661 pratyushparag@gmail.com Orthopaedics,Hospital admin / nodal (private),pratyushparag@gmail.com,7209531661,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0051,A,PMJAY_PRIVATE,Bihar,Darbhanga,Mediworld Multispeciality Hospital 6280622571 irfansarwar4@gmail.com,Hospital admin / nodal (private),irfansarwar4@gmail.com,6280622571,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0052,A,PMJAY_PRIVATE,Bihar,Darbhanga,"Sri Vishudhanand Hospital Private Limited 9430898431 drgsjha@gmail.com General Surgery,General Medicine,Obstetrics & Gyn",Hospital admin / nodal (private),drgsjha@gmail.com,9430898431,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0053,A,PMJAY_PRIVATE,Bihar,Darbhanga,"URO STONE RESEARCH CENTER PVT LTD 9934966634 manojuro21@yahoo.com General Medicine,Orthopaedics,General Surgery,Genitour",Hospital admin / nodal (private),manojuro21@yahoo.com,9934966634,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0054,A,PMJAY_PRIVATE,Bihar,East,CHAMPARAN JALAL MEDICAL CENTER 8540046150 nawshadshahab@gmail.com General Surgery,Hospital admin / nodal (private),nawshadshahab@gmail.com,8540046150,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0055,A,PMJAY_PRIVATE,Bihar,East,"CHAMPARAN RAHMANIA MEDICAL CENTRE 7979902064 rmc_mth@yahoo.com General Surgery,Orthopaedics",Hospital admin / nodal (private),rmc_mth@yahoo.com,7979902064,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0056,A,PMJAY_PRIVATE,Bihar,East,"CHAMPARAN SITARAM PRASAD MEMORIAL TRUST HOSPITAL 6203447407 SRPMTRXL@GMAIL.COM General Surgery,Orthopaedics",Hospital admin / nodal (private),srpmtrxl@gmail.com,6203447407,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0057,A,PMJAY_PRIVATE,Bihar,Gaya,"AGRAWAL SUPER SPECIALITY HOSPITAL 9470053535 vaibhav.vikas@gmail.com Urology,Urology ,General Surgery",Hospital admin / nodal (private),vaibhav.vikas@gmail.com,9470053535,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0058,A,PMJAY_PRIVATE,Bihar,Gaya,"KUMAR MULTISPECIALITY HOSPITAL 8083812977 ceokmh@rediffmail.com General Medicine,Treatment Procedure Dental Procedures",Hospital admin / nodal (private),ceokmh@rediffmail.com,8083812977,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0059,A,PMJAY_PRIVATE,Bihar,Jamui,"SATYAM NURSING HOME 6202729821 satyamhome21@gmail.com General Surgery,Obstetrics & Gynaecology",Hospital admin / nodal (private),satyamhome21@gmail.com,6202729821,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0060,A,PMJAY_PRIVATE,Bihar,Kaimur,"(BHABUA) Rina Devi Memorial Hospital 7320047047 rinamhospi@gmail.com General Surgery,Ophthalmology,Opthalmology,Orthopae",Hospital admin / nodal (private),rinamhospi@gmail.com,7320047047,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0061,A,PMJAY_PRIVATE,Bihar,Katihar,JANKI TRAUMA CENTRE & HOSPITAL 9472861767 drjaiswalrajeev@gmail.com Orthopaedics,Hospital admin / nodal (private),drjaiswalrajeev@gmail.com,9472861767,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0062,A,PMJAY_PRIVATE,Bihar,Katihar,"ROSHNA BAZAR NURSING HOME 9733012858 roshnabazar.nh@gmail.com Opthalmology,Ophthalmology",Hospital admin / nodal (private),roshnabazar.nh@gmail.com,9733012858,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0063,A,PMJAY_PRIVATE,Bihar,Kishanganj,Z A NURSING HOME 9431288593 anwarh50.ah@gmail.com,Hospital admin / nodal (private),anwarh50.ah@gmail.com,9431288593,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0064,A,PMJAY_PRIVATE,Bihar,Madhubani,RAMSHILA HEALTH CARE HOSPTAL 8178447372 zaman04g@gmail.com,Hospital admin / nodal (private),zaman04g@gmail.com,8178447372,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0065,A,PMJAY_PRIVATE,Bihar,Munger,SURIMS & HOSPITAL PVT LTD 8929076861 surimsmgr@gmail.com General Surgery,Hospital admin / nodal (private),surimsmgr@gmail.com,8929076861,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0066,A,PMJAY_PRIVATE,Bihar,Muzaffarpur,ASG Hospital Pvt Ltd 8875020446 empnl_final.asg@gmail.com Ophthalmology,Hospital admin / nodal (private),empnl_final.asg@gmail.com,8875020446,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0067,A,PMJAY_PRIVATE,Bihar,Muzaffarpur,"LIFE CARE NURSING HOME AND STONE CENTER 9570303236 hasimansari3@gmail.com General Medicine,Obstetrics & Gynaecology,Geni",Hospital admin / nodal (private),hasimansari3@gmail.com,9570303236,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0068,A,PMJAY_PRIVATE,Bihar,Muzaffarpur,MAA JANKI HOSPITAL & RESEARCH CENTRE PVT. LTD. 7903900458 maajanki.muz@gmail.com General Surgery,Hospital admin / nodal (private),maajanki.muz@gmail.com,7903900458,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0069,A,PMJAY_PRIVATE,Bihar,Muzaffarpur,"Mediwell Hospital A Unit of Stardoc Healthcare Private Limited 9060464595 mediwell.nic.in@gmail.com Cardiology,General S",Hospital admin / nodal (private),mediwell.nic.in@gmail.com,9060464595,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0070,A,PMJAY_PRIVATE,Bihar,Muzaffarpur,PRASHANT MEMORIAL CHARITABLE HOSPITAL 9570464650 pmchmfp.cghs@gmail.com,Hospital admin / nodal (private),pmchmfp.cghs@gmail.com,9570464650,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0071,A,PMJAY_PRIVATE,Bihar,Muzaffarpur,PRASHANT MEMORIAL CHARITABLE HOSPITAL 9771423635 pmchmfp@gmail.com,Hospital admin / nodal (private),pmchmfp@gmail.com,9771423635,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0072,A,PMJAY_PRIVATE,Bihar,Muzaffarpur,"RBM HOSPITAL PVT LTD 9955442195 rbmhospitals1@gmail.com General Surgery,General Medicine",Hospital admin / nodal (private),rbmhospitals1@gmail.com,9955442195,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0073,A,PMJAY_PRIVATE,Bihar,Muzaffarpur,SANJEEVANI CLINIC & NURSING HOME 9572666380 muzpmjay@gmail.com General Surgery,Hospital admin / nodal (private),muzpmjay@gmail.com,9572666380,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0074,A,PMJAY_PRIVATE,Bihar,Muzaffarpur,Trome Multi Speciality Hospital 8757121444 patientcare@tromelife.com,Hospital admin / nodal (private),patientcare@tromelife.com,8757121444,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0075,A,PMJAY_PRIVATE,Bihar,Nalanda,NALANDA NETRALAYA AND MATERNITY HOME PVT LTD 9905888505 sixbysixvision@yahoo.co.in Ophthalmology,Hospital admin / nodal (private),sixbysixvision@yahoo.co.in,9905888505,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0076,A,PMJAY_PRIVATE,Bihar,Nalanda,"jeevan jyoti super speciality hospital 8252120969 amitdiwakar98@gmail.com General Medicine,General Surgery",Hospital admin / nodal (private),amitdiwakar98@gmail.com,8252120969,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0077,A,PMJAY_PRIVATE,Bihar,Patna,A. B. EYE INSTITUTE 9431622222 abeyeinstitute@gmail.com,Hospital admin / nodal (private),abeyeinstitute@gmail.com,9431622222,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0078,A,PMJAY_PRIVATE,Bihar,Patna,"ANUPAMA HOSPITAL PVT. LTD. 9308555411 ahpl1976@gmail.com General Medicine,General Surgery,Orthopaedics",Hospital admin / nodal (private),ahpl1976@gmail.com,9308555411,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0079,A,PMJAY_PRIVATE,Bihar,Patna,ASG Hospital Pvt. Ltd. 8407803810 patna@asgeyehospital.com,Hospital admin / nodal (private),patna@asgeyehospital.com,8407803810,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0080,A,PMJAY_PRIVATE,Bihar,Patna,ASIA Hospital A Unit of Emedinova Marketing Pvt Ltd 7004656309 roushan910@gmail.com,Hospital admin / nodal (private),roushan910@gmail.com,7004656309,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0081,A,PMJAY_PRIVATE,Bihar,Patna,C. S. N NETRALAYA PVT. LTD 7677301014 csnihospital@rediffmail.com,Hospital admin / nodal (private),csnihospital@rediffmail.com,7677301014,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0082,A,PMJAY_PRIVATE,Bihar,Patna,DIVYADRISHTI EYE CENTRE PVT LTD 9122273112 ddeyecentre@gmail.com,Hospital admin / nodal (private),ddeyecentre@gmail.com,9122273112,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0083,A,PMJAY_PRIVATE,Bihar,Patna,DR PRABHAT MEMORIAL HIRAMATI HOSPITAL 9306438861 CMD@DPMHHOSPITAL.COM,Hospital admin / nodal (private),cmd@dpmhhospital.com,9306438861,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0084,A,PMJAY_PRIVATE,Bihar,Patna,Ford Hospital and Research Center 9386392860 corporate@fordhospital.org,Hospital admin / nodal (private),corporate@fordhospital.org,9386392860,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0085,A,PMJAY_PRIVATE,Bihar,Patna,Heart Hospital Pvt Ltd 9835119335 hhplpat@gmail.com,Hospital admin / nodal (private),hhplpat@gmail.com,9835119335,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0086,A,PMJAY_PRIVATE,Bihar,Patna,Indira Gandhi Institute of Medical Science 8986170490 jiutram@rediffmail.com,Hospital admin / nodal (private),jiutram@rediffmail.com,8986170490,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0087,A,PMJAY_PRIVATE,Bihar,Patna,"Indra Gandhi Institute of cardiology 9431492291 dropksah@yahoo.com Cardio Thoracic Surgery,Cardiology",Hospital admin / nodal (private),dropksah@yahoo.com,9431492291,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0088,A,PMJAY_PRIVATE,Bihar,Patna,JEEVAK HEART HOSPITAL & RES INST. PVT. LTD. 9430812528 imfo@jeevakhospital.com,Hospital admin / nodal (private),imfo@jeevakhospital.com,9430812528,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0089,A,PMJAY_PRIVATE,Bihar,Patna,MAHAVIR CANCER INSTITUTE & RESEARCH CENTER 9334388999 lbsingh051@gmail.com,Hospital admin / nodal (private),lbsingh051@gmail.com,9334388999,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0090,A,PMJAY_PRIVATE,Bihar,Patna,"Maa Dulari Memorial Hospital 9934552894 maadulari@gmail.com Obstetrics & Gynaecology,General Medicine",Hospital admin / nodal (private),maadulari@gmail.com,9934552894,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0091,A,PMJAY_PRIVATE,Bihar,Patna,"Mahavir Cancer Institute & Research Center 9308408146 pintumcs73@gmail.com Radiation Oncology,Medical Oncology,Surgical ",Hospital admin / nodal (private),pintumcs73@gmail.com,9308408146,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0092,A,PMJAY_PRIVATE,Bihar,Patna,R N Superspeciality Hospital & Research Centre Pvt. Ltd. 9835491081 drsbpd.rniu@gmail.com,Hospital admin / nodal (private),drsbpd.rniu@gmail.com,9835491081,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0093,A,PMJAY_PRIVATE,Bihar,Patna,RAJ RETINA AND EYE CARE CENTRE PVT LTD 7979030998 rrecc14@gmail.com Ophthalmology,Hospital admin / nodal (private),rrecc14@gmail.com,7979030998,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0094,A,PMJAY_PRIVATE,Bihar,Patna,RUBAN MEMORIAL HOSPITAL 8873035270 ruban_hospital@yahoo.co.in,Hospital admin / nodal (private),ruban_hospital@yahoo.co.in,8873035270,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0095,A,PMJAY_PRIVATE,Bihar,Patna,S S HOSPITAL AND RESEARCH CENTRE 9709994787 barunkumar.dhn@gmail.com,Hospital admin / nodal (private),barunkumar.dhn@gmail.com,9709994787,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0096,A,PMJAY_PRIVATE,Bihar,Patna,"S.S HOSPITAL AND RESEARCH CENTRE 7004100294 drjksingh.onco@gmail.com Medical Oncology,Obstetrics & Gynaecology,General S",Hospital admin / nodal (private),drjksingh.onco@gmail.com,7004100294,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0097,A,PMJAY_PRIVATE,Bihar,Patna,SARITA DIAGNOSTIC CENTRE PRIVATE LIMITED 8603180787 abhishekr75@gmail.com,Hospital admin / nodal (private),abhishekr75@gmail.com,8603180787,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0098,A,PMJAY_PRIVATE,Bihar,Patna,"Sanjivani Eye Hospital and Research Institute 9939715966 bitturanjan2010@gmail.com Opthalmology,Ophthalmology",Hospital admin / nodal (private),bitturanjan2010@gmail.com,9939715966,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
